Year,Player,Career AV
2020,Trey Adams,0
2020,Hakeem Adeniji,0
2020,McTelvin Agim,2
2020,Salvon Ahmed,0
2020,Brandon Aiyuk,39
2020,Cam Akers,13
2020,Bradlee Anae,0
2020,Tremayne Anchrum,0
2020,Jet Anderson,0
2020,Damon Arnette,2
2020,Grayland Arnold,0
2020,Devin Asiasi,0
2020,Joe Bachie,0
2020,Markus Bailey,0
2020,Trajan Bandy,0
2020,Ben Bartch,8
2020,Tyler Bass,0
2020,Essang Bassey,0
2020,Zack Baun,28
2020,Omar Bayless,0
2020,Mekhi Becton,15
2020,LeVante Bellamy,0
2020,Eno Benjamin,0
2020,Francis Bernard,0
2020,Tyler Biadasz,0
2020,Daniel Bituli,0
2020,Ross Blacklock,4
2020,Julian Blackmon,20
2020,Rodrigo Blankenship,0
2020,Lynn Bowden,3
2020,Shaun Bradley,0
2020,Ben Bredeson,0
2020,Jacob Breeland,0
2020,Jordyn Brooks,30
2020,Cameron Brown,0
2020,Derrick Brown,28
2020,Tony Brown,0
2020,Harrison Bryant,7
2020,Hunter Bryant,0
2020,Kelly Bryant,0
2020,Myles Bryant,0
2020,Terrell Burgess,3
2020,Joe Burrow,58
2020,Cohl Cabral,0
2020,Lawrence Cager,0
2020,Raymond Calais,0
2020,Marquez Callaway,0
2020,Shyheim Carter,0
2020,Quintez Cephus,0
2020,K'Lavon Chaisson,10
2020,Saahdiq Charles,8
2020,Joseph Charlton,0
2020,Jeremy Chinn,38
2020,Cameron Clark,0
2020,Nevelle Clarke,0
2020,Chase Claypool,19
2020,Rodney Clemons,0
2020,Ezra Cleveland,26
2020,Tyrie Cleveland,0
2020,Josiah Coatney,0
2020,Nick Coe,0
2020,Kendall Coleman,0
2020,Trystan Colon-Castillo,0
2020,Carter Coughlin,0
2020,Isaiah Coulter,0
2020,Kamren Curl,0
2020,Lloyd Cushenberry,23
2020,DeeJay Dallas,0
2020,Darrion Daniels,0
2020,Cameron Dantzler,10
2020,Kevin Davidson,0
2020,Marlon Davidson,5
2020,Ashtyn Davis,10
2020,Carlos Davis,0
2020,Gabriel Davis,27
2020,Javaris Davis,0
2020,Khalil Davis,0
2020,Quartney Davis,0
2020,Raekwon Davis,23
2020,Akeem Davis-Gaither,9
2020,Josiah Deguara,4
2020,Grant Delpit,20
2020,Trevon Diggs,31
2020,AJ Dillon,23
2020,Michael Divinity,0
2020,J.K. Dobbins,17
2020,Rico Dowdle,0
2020,Jack Driscoll,0
2020,Kyle Dugger,23
2020,Yasir Durant,0
2020,Devin Duvernay,12
2020,Troy Dye,10
2020,Jacob Eason,0
2020,Bryan Edwards,6
2020,Clyde Edwards-Helaire,18
2020,Jalen Elliott,0
2020,Jordan Elliott,21
2020,A.J. Epenesa,16
2020,Darrynton Evans,3
2020,Blake Ferguson,0
2020,Chris Finke,0
2020,Leki Fotu,10
2020,Jake Fromm,0
2020,Aaron Fuller,0
2020,Jordan Fuller,0
2020,Kristian Fulton,18
2020,Tipa Galeai,0
2020,Neville Gallimore,10
2020,Antonio Gandy-Golden,0
2020,Cale Garrett,0
2020,Jonathan Garvin,0
2020,Antonio Gibson,27
2020,Alohi Gilman,0
2020,Trevis Gipson,0
2020,Jeff Gladney,5
2020,Anthony Gordon,0
2020,A.J. Green,0
2020,Jonathan Greenard,27
2020,Yetur Gross-Matos,17
2020,Javelin Guidry,0
2020,Stephen Guidry,0
2020,Bryce Hall,0
2020,DaVon Hamilton,18
2020,LaDarius Hamilton,0
2020,KJ Hamler,5
2020,Harrison Hand,0
2020,Jake Hanson,0
2020,Scoota Harris,0
2020,Nick Harris,0
2020,Malik Harrison,16
2020,JaMycal Hasty,0
2020,Jaylinn Hawkins,11
2020,Charlie Heck,11
2020,C.J. Henderson,12
2020,Matt Hennessy,10
2020,Justin Herbert,64
2020,Brian Herrien,0
2020,Justin Herron,0
2020,Tee Higgins,37
2020,Alex Highsmith,30
2020,John Hightower,0
2020,K.J. Hill,0
2020,Lavert Hill,0
2020,Trevon Hill,0
2020,Isaiah Hodgins,0
2020,Sterling Hofrichter,0
2020,Darnay Holmes,7
2020,Brycen Hopkins,0
2020,Khaleke Hudson,0
2020,Robert Hunt,29
2020,Jalen Hurts,69
2020,Noah Igbinoghene,7
2020,Brian Cole II,0
2020,Rashard Lawrence II,6
2020,Reggie Robinson II,0
2020,Henry Ruggs III,8
2020,Keith Ismael,0
2020,Cordel Iwuagwu,0
2020,Austin Jackson,23
2020,Dane Jackson,0
2020,Jonah Jackson,27
2020,Lamar Jackson,0
2020,Trishton Jackson,0
2020,Justin Jefferson,57
2020,Van Jefferson,17
2020,Anfernee Jennings,20
2020,Jauan Jennings,0
2020,Jerry Jeudy,28
2020,Collin Johnson,0
2020,Jaylon Johnson,29
2020,Juwan Johnson,0
2020,Tyler Johnson,0
2020,Clay Johnston,0
2020,Benito Jones,0
2020,Brandon Jones,17
2020,Joshua Jones,15
2020,Tony Jones,0
2020,Antoine Brooks Jr.,0
2020,Willie Gay Jr.,26
2020,Laviska Shenault Jr.,13
2020,Antoine Winfield Jr.,36
2020,Azur Kamara,0
2020,Khalid Kareem,0
2020,Dalton Keene,0
2020,Joshua Kelley,9
2020,BoPete Keyes,0
2020,Solomon Kindley,6
2020,Javon Kinlaw,22
2020,Cole Kmet,23
2020,CeeDee Lamb,57
2020,Javon Leake,0
2020,Benny LeMay,0
2020,Shane Lemieux,0
2020,Brian Lewerke,0
2020,Damien Lewis,31
2020,Terrell Lewis,5
2020,Kalija Lipscomb,0
2020,Jordan Love,29
2020,Jake Luton,0
2020,James Lynch,6
2020,Austin Mack,0
2020,Jordan Mack,0
2020,Justin Madubuike,38
2020,Braden Mann,0
2020,Kamal Martin,0
2020,Cole McDonald,0
2020,Anthony McFarland,1
2020,Sean McKeon,0
2020,Xavier McKinney,31
2020,Colton McKivitz,0
2020,Josh Metellus,0
2020,Chris Miller,0
2020,Denzel Mims,5
2020,John Molchon,0
2020,JJ Molson,0
2020,Steven Montez,0
2020,Darnell Mooney,0
2020,James Morgan,0
2020,Thaddeus Moss,0
2020,Zack Moss,18
2020,Larrell Murchison,0
2020,Kyle Murphy,0
2020,Kenneth Murray,28
2020,Tanner Muse,2
2020,Netane Muti,0
2020,Lucas Niang,8
2020,C.J. O'Grady,0
2020,Michael Ojemudia,4
2020,Jeff Okudah,10
2020,Julian Okwara,5
2020,Albert Okwuegbunam,5
2020,Sewo Olonilua,0
2020,Dante Olson,0
2020,Mike Onwenu,0
2020,K.J. Osborn,0
2020,Aaron Parker,0
2020,Colby Parkinson,8
2020,Dezmon Patmon,0
2020,Shea Patterson,0
2020,Matt Peart,6
2020,Alex Pechin,0
2020,John Penisini,0
2020,Donovan Peoples-Jones,0
2020,La'Mical Perine,3
2020,Malcolm Perry,0
2020,Jacob Phillips,5
2020,Scottie Phillips,0
2020,Tyre Phillips,11
2020,James Pierre,0
2020,Michael Pinckney,0
2020,Jared Pinkney,0
2020,Danny Pinter,0
2020,Michael Pittman,38
2020,Troy Pride,3
2020,James Proche,0
2020,Shaquille Quarterman,0
2020,Patrick Queen,48
2020,Jalen Reagor,10
2020,Joe Reed,0
2020,J.R. Reed,0
2020,John Reid,0
2020,Chauncey Rivers,0
2020,Malcolm Roach,0
2020,Amik Robertson,0
2020,Alton Robinson,0
2020,James Robinson,0
2020,Kendrick Rogers,0
2020,Cesar Ruiz,26
2020,Jon Runyan,0
2020,Chapelle Russell,0
2020,Stanford Samuels,0
2020,Josiah Scott,0
2020,QAadir Sheppard,0
2020,Isaiah Simmons,20
2020,John Simpson,23
2020,Arryn Siposs,0
2020,James Smith-Williams,0
2020,L'Jarius Sneed,0
2020,Nate Stanley,0
2020,Terence Steele,0
2020,Logan Stenberg,3
2020,Simon Stepaniak,0
2020,Darrell Stewart,0
2020,Geno Stone,0
2020,Justin Strnad,0
2020,Jason Strowbridge,0
2020,Stephen Sullivan,0
2020,Freddie Swain,0
2020,D'Andre Swift,36
2020,Tua Tagovailoa,45
2020,Charlie Taumoepeau,0
2020,Alex Taylor,0
2020,Darrell Taylor,10
2020,Davion Taylor,3
2020,J.J. Taylor,0
2020,Jonathan Taylor,45
2020,Patrick Taylor,0
2020,A.J. Terrell,28
2020,Andrew Thomas,27
2020,Daniel Thomas,0
2020,Jeff Thomas,0
2020,Stantley Thomas-Oliver,0
2020,Calvin Throckmorton,0
2020,Casey Toohill,0
2020,Tommy Townsend,0
2020,Adam Trautman,9
2020,Michael Turk,0
2020,Derrek Tuszka,0
2020,Josh Uche,8
2020,Ke'Shawn Vaughn,2
2020,Ben Victor,0
2020,Kindle Vildor,0
2020,Mykal Walker,15
2020,K'Von Wallace,9
2020,Prince Tega Wanogho,0
2020,Mike Warren,0
2020,Broderick Washington,0
2020,Quez Watkins,0
2020,Curtis Weaver,0
2020,Evan Weaver,0
2020,Cody White,0
2020,Mitchell Wilcox,0
2020,Kenny Willekes,0
2020,Darryl Williams,0
2020,Raequan Williams,0
2020,Jedrick Wills,24
2020,Isaiah Wilson,0
2020,Logan Wilson,29
2020,Rob Windsor,0
2020,Tristan Wirfs,58
2020,Steven Wirtel,0
2020,Charlie Woerner,0
2020,D.J. Wonnum,20
2020,Dom Wood-Anderson,0
2020,David Woodward,0
2020,Chase Young,23
2020,Jabari Zuniga,1
2021,Jonathan Adams,0
2021,Paulson Adebo,19
2021,Giles Amos,0
2021,Zayne Anderson,0
2021,Otis Anderson,0
2021,Jack Anderson,0
2021,Dan Archibong,0
2021,Calvin Ashley,0
2021,Jaytlin Askew,0
2021,Tutu Atwell,12
2021,Kayode Awosika,0
2021,Kawaan Baker,0
2021,Josh Ball,0
2021,Aaron Banks,20
2021,Cole Banwart,0
2021,Christian Barmore,10
2021,Derrick Barnes,11
2021,Carlos Basham,3
2021,Rashod Bateman,18
2021,John Bates,5
2021,Adam Bay,0
2021,Tavante Beckett,0
2021,Chase Behrndt,0
2021,Shaun Beyer,0
2021,Tarik Black,0
2021,Josh Blancato,0
2021,Joshuah Bledsoe,0
2021,Quinton Bohanna,0
2021,Nick Bolton,23
2021,Ian Book,0
2021,Dicaprio Bootle,0
2021,Tuf Borland,0
2021,Larry Borom,0
2021,Rakeem Boyd,0
2021,Michael Boykin,0
2021,William Bradley-King,0
2021,Brady Breeze,0
2021,Gary Brightwell,0
2021,K.J. Britt,0
2021,Josiah Bronson,0
2021,Chris Brown,0
2021,Earnest Brown,0
2021,Kimere Brown,0
2021,Deonte Brown,0
2021,Dyami Brown,6
2021,Shakur Brown,0
2021,Tre Brown,0
2021,Amon-Ra St. Brown,47
2021,Baron Browning,15
2021,John Brunner,0
2021,Calvin Bundage,0
2021,Lorenzo Burns,0
2021,Eric Burrell,0
2021,Wesley Burris,0
2021,Jake Burton,0
2021,Camryn Bynum,20
2021,Jalen Camp,0
2021,Donavaughn Campbell,0
2021,Kyree Campbell,0
2021,Tyson Campbell,19
2021,Joseph Carlson,0
2021,Jackson Carman,4
2021,Tory Carter,0
2021,Michael Carter,11
2021,J.C. Chalk,0
2021,Ja'Marr Chase,48
2021,Ramaud Chiaokhiao-Bowman,0
2021,Drue Chrisman,0
2021,Brady Christensen,13
2021,Andre Cisco,18
2021,Mallory Claybourne,0
2021,Ben Cleveland,6
2021,Riley Cole,0
2021,Nico Collins,25
2021,Zaven Collins,21
2021,Nolan Cooney,0
2021,Jonathon Cooper,0
2021,Samuel Cosmi,23
2021,Seth Cottengim,0
2021,Jabril Cox,2
2021,Damonte Coxie,0
2021,Tyler Coyle,0
2021,Jack Crane,0
2021,Daniel Crawford,0
2021,Shaun Crawford,0
2021,Harry Crider,0
2021,Jake Curhan,0
2021,David Curry,0
2021,Drew Dalman,16
2021,DJ Daniel,0
2021,Frank Darby,0
2021,Jaelon Darden,0
2021,Corey Dauphine,0
2021,Zach Davidson,0
2021,Brady Davis,0
2021,Jamin Davis,16
2021,Shawn Davis,0
2021,Wyatt Davis,0
2021,Divine Deablo,20
2021,Bryson Denley,0
2021,Jon Dietzen,0
2021,Victor Dimukeje,0
2021,Brett DioGuardi,0
2021,Gerrid Doaks,0
2021,Max Duffy,0
2021,DeVontres Dukes,0
2021,Keith Duncan,0
2021,Isaiah Dunn,0
2021,Wes Dvorak,0
2021,Brennan Eagles,0
2021,Adrian Ealy,0
2021,Brandin Echols,0
2021,Sam Ehlinger,0
2021,Liam Eichenberg,23
2021,Milo Eifler,0
2021,D'Wayne Eskridge,2
2021,Travis Etienne,24
2021,Chris Evans,0
2021,Dillon Faamatau,0
2021,Austin Faoliu,0
2021,Matt Farniok,0
2021,Luke Farrell,0
2021,Simi Fehoko,0
2021,Parker Ferguson,0
2021,Justin Fields,34
2021,Tony Fields,0
2021,Paddy Fisher,0
2021,Dez Fitzpatrick,0
2021,Thomas Fletcher,0
2021,Paris Ford,0
2021,Darrick Forrest,0
2021,Miller Forristall,0
2021,Stone Forsythe,0
2021,Feleipe Franks,0
2021,Pat Freiermuth,18
2021,Will Fries,0
2021,Jake Funk,0
2021,Kenneth Gainwell,0
2021,Bailey Gaither,0
2021,Blake Gallagher,0
2021,Mark Gilbert,0
2021,Tyree Gillespie,0
2021,Chauncey Golston,12
2021,Tay Gowan,0
2021,Ta'Quon Graham,0
2021,Richie Grant,13
2021,Noah Gray,0
2021,Kendrick Green,5
2021,Trevon Grimes,0
2021,Garrett Groshek,0
2021,Robert Hainsey,15
2021,Darren Hall,4
2021,Damar Hamlin,0
2021,Mike Hampton,0
2021,Noah Hannon,0
2021,Adrian Hardy,0
2021,Bryce Hargrove,0
2021,Darius Harper,0
2021,Scooter Harrington,0
2021,Jacob Harris,0
2021,Jaylen Harris,0
2021,Pressley Harvin,0
2021,Blake Haubeil,0
2021,Jake Hausmann,0
2021,Javian Hawkins,0
2021,Daelin Hayes,0
2021,Damon Hazelton,0
2021,Jack Heflin,0
2021,Brett Heggie,0
2021,Justin Henderson,0
2021,Khalil Herbert,0
2021,Grant Hermanns,0
2021,Malik Herring,0
2021,Kylin Hill,0
2021,Trey Hill,0
2021,Justin Hilliard,0
2021,Nate Hobbs,0
2021,Darius Hodge,0
2021,Jevon Holland,21
2021,Jaycee Horn,13
2021,Phil Hoskins,0
2021,Chuba Hubbard,23
2021,Wyatt Hubert,0
2021,James Hudson,8
2021,Talanoa Hufanga,0
2021,Justin Hughes,0
2021,Creed Humphrey,40
2021,Sadarius Hutcherson,0
2021,Josh Imatorbhebhe,0
2021,Alaric Jackson,0
2021,Deon Jackson,0
2021,Drake Jackson,3
2021,Tarron Jackson,0
2021,Warren Jackson,0
2021,Jerry Jacobs,0
2021,Brenden Jaimes,0
2021,Shemar Jean-Charles,0
2021,Jermar Jefferson,0
2021,Teven Jenkins,15
2021,Adam Jewell,0
2021,Sterling Johnson,0
2021,Jerome Johnson,0
2021,Jamar Johnson,0
2021,Josh Johnson,0
2021,Johnathon Johnson,0
