Year,Player,Career AV
2021,Mustafa Johnson,0
2021,Patrick Johnson,0
2021,Zeandae Johnson,0
2021,Jamal Jones,0
2021,Ernest Jones,14
2021,Mac Jones,24
2021,Naquan Jones,0
2021,Patrick Jones,7
2021,Robert Jones,0
2021,Brevin Jordan,0
2021,Kelvin Joseph,2
2021,Terrace Marshall Jr.,6
2021,Asante Samuel Jr.,14
2021,Thomas Graham Jr.,0
2021,Kary Vincent Jr.,0
2021,Hunter Kampmoyer,0
2021,Xavier Kelly,0
2021,Alex Kessman,0
2021,Devon Key,0
2021,Cameron Kinley,0
2021,Logan Klusman,0
2021,Brenden Knox,0
2021,Ben Knutson,0
2021,Malcolm Koonce,7
2021,Tommy Kraemer,0
2021,Adam Krumholz,0
2021,Bruno Labelle,0
2021,Trey Lance,4
2021,Cole Van Lanen,0
2021,Nolan Laufenberg,0
2021,Trevor Lawrence,39
2021,Alex Leatherwood,8
2021,Richard LeCounte,0
2021,Riley Lees,0
2021,Deommodore Lenoir,0
2021,Walker Little,11
2021,Jeremiah Littles,0
2021,Roy Lopez,0
2021,Isaiahh Loudermilk,0
2021,Blake Lynch,0
2021,Artayvious Lynn,0
2021,Branden Mack,0
2021,CJ Marable,0
2021,Jonathan Marshall,0
2021,Ben Mason,0
2021,Mac McCain,0
2021,Khalil McClain,0
2021,Jaylon McClain-Sapp,0
2021,Nick McCloud,0
2021,Sandon McCoy,0
2021,Greg McCrae,0
2021,Tre' McKitty,1
2021,Romeo McKnight,0
2021,Isaiah McKoy,0
2021,Racey McMath,0
2021,Joshua McMillon,0
2021,Zech McPhearson,2
2021,Evan McPherson,0
2021,Trae Meadows,0
2021,Quinn Meinerz,25
2021,Ifeatu Melifonwu,6
2021,Jordan Meredith,0
2021,Forrest Merrill,0
2021,Scott Meyer,0
2021,Davis Mills,15
2021,Dedrick Mills,0
2021,Dax Milne,0
2021,Andre Mintze,0
2021,Elijah Mitchell,0
2021,Trevon Moehrig,21
2021,Elijah Molden,7
2021,Briley Moore,0
2021,Jaylon Moore,0
2021,David Moore,0
2021,Elijah Moore,0
2021,Rondale Moore,12
2021,Quintin Morris,0
2021,Jimmy Morrissey,0
2021,E.J. Muhammad,0
2021,Israel Mukuamu,0
2021,Josh Myers,27
2021,Jonathan Nance,0
2021,Hamsah Nasirildeen,0
2021,Lorenzo Neal,0
2021,Ryan Neuzil,0
2021,Royce Newman,0
2021,Jamie Newman,0
2021,Dazz Newsome,0
2021,Greg Newsome,14
2021,Nick Niemann,0
2021,Daviyon Nixon,0
2021,Tre Nixon,0
2021,Tre Norwood,0
2021,Antonio Nunn,0
2021,Dayo Odeyingbo,12
2021,Nick Oelrich,0
2021,Amen Ogbongbemiga,0
2021,Adetokunbo Ogundeji,0
2021,Azeez Ojulari,16
2021,Levi Onwuzurike,7
2021,Joseph Ossai,6
2021,Jayson Oweh,14
2021,Jeremiah Owusu-Koramoah,22
2021,JR Pace,0
2021,AJ Parker,0
2021,Micah Parsons,56
2021,Jarrett Patterson,0
2021,Riley Patterson,0
2021,Jaret Patterson,0
2021,Kwity Paye,26
2021,Josh Pederson,0
2021,Ronnie Perkins,0
2021,Jordyn Peters,0
2021,Jaelan Phillips,16
2021,Whop Philyor,0
2021,Nick Pickett,0
2021,Jason Pinnock,0
2021,Kyle Pitts,21
2021,Kyle Poland,0
2021,Elijah Ponder,0
2021,Cornell Powell,0
2021,Blake Proehl,0
2021,Dillon Radunz,11
2021,Trey Ragas,0
2021,John Raine,0
2021,Peyton Ramsey,0
2021,Hamilcar Rashed,0
2021,Jon Rhattigan,0
2021,Monty Rice,6
2021,Curtis Robinson,0
2021,Aaron Robinson,2
2021,Quincy Roche,0
2021,Robert Rochell,3
2021,Amari Rodgers,1
2021,Asim Rose,0
2021,Zach Von Rosenberg,0
2021,Larry Rountree,0
2021,Gregory Rousseau,32
2021,Dionte Ruffin,0
2021,Chris Rumph,3
2021,K.J. Sails,0
2021,Teton Saltes,0
2021,Cameron Sample,5
2021,Foster Sarell,0
2021,Mekhi Sargent,0
2021,Thomas Schaffer,0
2021,Ry Schneider,0
2021,Anthony Schwartz,2
2021,Jordon Scott,0
2021,Stevie Scott,0
2021,Trey Sermon,1
2021,Penei Sewell,52
2021,Justin Shaffer,0
2021,Khalil Shakir,0
2021,Abram Smith,0
2021,Brandon Smith,0
2021,Lecitus Smith,0
2021,Tyler Smith,0
2021,Tyreke Smith,0
2021,Baylon Spector,0
2021,Isaiah Spiller,1
2021,Chris Steele,0
2021,Derek Stingley,0
2021,Jordan Stout,6
2021,Cole Strange,11
2021,Carson Strong,0
2021,Pierre Strong,4
2021,Andrew Stueber,0
2021,Myron Tagovailoa-Amosa,0
2021,Alontae Taylor,13
2021,Cam Taylor-Britt,14
2021,Isaac Taylor-Stuart,0
2021,Luke Tenuta,0
2021,Kayvon Thibodeaux,21
2021,Zach Thomas,0
2021,Cameron Thomas,3
2021,Isaiah Thomas,0
2021,Juanyeh Thomas,0
2021,Josh Thompson,0
2021,Skylar Thompson,0
2021,Tyquan Thornton,3
2021,Channing Tindall,3
2021,Jalen Tolbert,7
2021,Zach Tom,0
2021,Cole Turner,0
2021,Tré Turner,0
2021,Delarrin Turner-Yell,0
2021,Eyioma Uwazurike,1
2021,CJ Verdell,0
2021,Cordell Volson,22
2021,Matt Waletzko,0
2021,Kenneth Walker,0
2021,Quay Walker,18
2021,Rasheed Walker,0
2021,Travon Walker,21
2021,Jermaine Waller,0
2021,Jaylen Warren,0
2021,Christian Watson,16
2021,Jaylen Watson,8
2021,Luke Wattenberg,0
2021,Sam Webb,8
2021,Dohnovan West,0
2021,Isaiah Weston,0
2021,Rachaad White,21
2021,ZaQuandre White,0
2021,Zamir White,5
2021,Tre Williams,0
2021,Damarion Williams,0
2021,Devon Williams,0
2021,Jameson Williams,16
2021,Joshua Williams,5
2021,Kyren Williams,0
2021,Sam Williams,4
2021,Malik Willis,4
2021,Garrett Wilson,24
2021,Perrion Winfrey,1
2021,Jelani Woods,2
2021,JT Woods,1
2021,Mike Woods,0
2021,Tariq Woolen,0
2021,Alex Wright,6
2021,Mykael Wright,0
2021,Devonte Wyatt,6
2021,Jalen Wydermyer,0
2021,Cade York,1
2021,Nick Zakelj,0
2021,Bailey Zappe,2
2022,Cal Adomitis,0
2022,Austin Allen,0
2022,Chase Allen,0
2022,Christopher Allen,0
2022,Tyler Allgeier,0
2022,Troy Andersen,6
2022,Tycen Anderson,0
2022,Blaise Andries,0
2022,Matt Araiza,0
2022,Jalyn Armour-Davis,2
2022,Brian Asamoah,3
2022,Calvin Austin,0
2022,Tyler Badie,0
2022,Kalon Barnes,0
2022,Amaré Barno,0
2022,Darrian Beavers,0
2022,Markquese Bell,0
2022,David Bell,3
2022,Greg Bell,0
2022,Daniel Bellinger,6
2022,Dane Belton,8
2022,Terrel Bernard,19
2022,Bubba Bolden,0
2022,Slade Bolden,0
2022,Nik Bonitto,21
2022,Thomas Booker,0
2022,Andrew Booth,3
2022,Max Borghi,0
2022,Jaquan Brisker,11
2022,Kennedy Brooks,0
2022,Ben Brown,0
2022,Leddie Brown,0
2022,Montaric Brown,0
2022,Logan Bruss,2
2022,Coby Bryant,8
2022,Spencer Burford,14
2022,Treylon Burks,6
2022,Darien Butler,0
2022,Matthew Butler,0
2022,Percy Butler,6
2022,Grant Calcaterra,0
2022,Jake Camarda,8
2022,Chance Campbell,0
2022,Ja'Tyre Carter,0
2022,Zachary Carter,10
2022,Tariq Castro-Fields,0
2022,Tykevious Chandler,0
2022,Leo Chenal,14
2022,Lewis Cine,0
2022,Damone Clark,0
2022,Micheal Clemons,10
2022,Jack Coan,0
2022,Qwynnterrio Cole,0
2022,Snoop Conner,0
2022,Bryan Cook,12
2022,James Cook,28
2022,Jashaun Corbin,0
2022,Yusuf Corker,0
2022,Matt Corral,0
2022,Charles Cross,22
2022,Nick Cross,10
2022,Dustin Crum,0
2022,Myron Cunningham,0
2022,DJ Davidson,0
2022,Jordan Davis,16
2022,Kalia Davis,0
2022,Tyrion Davis-Price,1
2022,Nakobe Dean,10
2022,Dawson Deaton,0
2022,Austin Deculus,0
2022,Cameron Dicker,0
2022,Kellen Diesch,0
2022,Dai'Jean Dixon,0
2022,JoJo Domann,0
2022,Jahan Dotson,11
2022,Romeo Doubs,16
2022,Dontario Drummond,0
2022,Greg Dulcich,3
2022,William Dunkle,0
2022,Cobie Durant,0
2022,Jerrion Ealy,0
2022,Arnold Ebiketie,8
2022,Trestan Ebner,0
2022,Ikem Ekwonu,19
2022,Kaiir Elam,6
2022,Kaleb Eleby,0
2022,Noah Elliss,0
2022,Martin Emerson,13
2022,Kingsley Enagbare,0
2022,Akayleb Evans,6
2022,Obinna Eze,0
2022,Joshua Ezeudu,5
2022,Erik Ezukanma,0
2022,Daniel Faalele,12
2022,Neil Farrell,2
2022,Jake Ferguson,15
2022,DaMarcus Fields,0
2022,Cordale Flott,9
2022,Jerome Ford,0
2022,Jonathan Ford,0
2022,Luke Fortner,17
2022,Ty Fryfogle,0
2022,Ahmad Gardner,31
2022,Haskell Garrett,0
2022,Jeremiah Gemmel,0
2022,Trenton Gill,0
2022,Luke Goedeke,17
2022,Mario Goodrich,0
2022,Tyler Goodson,0
2022,Kyler Gordon,12
2022,Isaiah Graham-Mobley,0
2022,Danny Gray,0
2022,Vincent Gray,0
2022,Kenyon Green,8
2022,Jeffrey Gunter,0
2022,Breece Hall,20
2022,Jeremiah Hall,0
2022,Logan Hall,13
2022,Kyle Hamilton,22
2022,Jake Hansen,0
2022,Aaron Hansford,0
2022,Christian Harris,13
2022,Kevin Harris,0
2022,Kolby Harvell-Peel,0
2022,Hassan Haskins,2
2022,Blake Hayes,0
2022,Marquis Hayes,0
2022,Peyton Hendershot,0
2022,Connor Heyward,0
2022,Daxton Hill,9
2022,Chasen Hines,0
2022,Christopher Hinton,0
2022,Curtis Hodges,0
2022,Sam Howell,0
2022,Aidan Hutchinson,20
2022,Jermaine Johnson II,14
2022,Johnny Johnson III,0
2022,Verone McKinley III,0
2022,Ed Ingram,16
2022,Keaontay Ingram,0
2022,D'Marco Jackson,0
2022,Drake Jackson,3
2022,Jordan Jackson,0
2022,Joshua Jobe,0
2022,Josh Johnson,0
2022,Tyree Johnson,0
2022,Zion Johnson,20
2022,Braxton Jones,0
2022,Jack Jones,10
2022,Marcus Jones,14
2022,Travis Jones,9
2022,Velus Jones,3
2022,Kerby Joseph,23
2022,Kevin Austin Jr.,0
2022,Reggie Roberson Jr.,0
2022,Cameron Jurgens,14
2022,George Karlaftis,20
2022,Cole Kelley,0
2022,Derion Kendrick,0
2022,D'Eriq King,0
2022,Darian Kinnard,0
2022,Zonovan Knight,0
2022,Charlie Kolar,2
2022,Quentin Lake,0
2022,Nate Landman,0
2022,DeMarvin Leal,4
2022,Isaiah Likely,0
2022,Tyler Linderbaum,25
2022,Alec Lindstrom,0
2022,Devin Lloyd,20
2022,Drake London,25
2022,Vederian Lowe,0
2022,Abraham Lucas,15
2022,Chase Lucas,0
2022,Jesse Luketa,0
2022,Boye Mafe,14
2022,DeAngelo Malone,3
2022,Phidarian Mathis,2
2022,Cade Mays,0
2022,Trey McBride,20
2022,Marquan McCall,0
2022,Zakoby McClain,0
2022,Zyon McCollum,0
2022,Sincere McCormick,0
2022,Roger McCreary,13
2022,Trent McDuffie,28
2022,Micah McFadden,0
2022,Marcus McKethan,0
2022,Bo Melton,0
2022,John Metchie,3
2022,James Mitchell,0
2022,Max Mitchell,5
2022,Smoke Monday,0
2022,Jeremiah Moon,0
2022,Skyy Moore,4
2022,Chad Muma,6
2022,Thayer Munford,0
2022,Jalen Nailor,0
2022,Evan Neal,11
2022,Leon O'Neal,0
2022,Otito Ogbonnia,0
2022,David Ojabo,2
2022,Chigoziem Okonkwo,0
2022,Chris Olave,20
2022,Esezi Otomewo,0
2022,Isiah Pacheco,0
2022,Dylan Parham,16
2022,Joshua Paschal,9
2022,Chris Paul,0
2022,Jayden Peevy,0
2022,Trevor Penning,12
2022,EJ Perry,0
2022,Nicholas Petit-Frere,11
2022,Kyle Philips,0
2022,George Pickens,24
2022,Kenny Pickett,14
2022,Alec Pierce,15
2022,Dameon Pierce,12
2022,Jalen Pitre,16
2022,Makai Polk,0
2022,D'vonte Price,0
2022,Brock Purdy,0
2022,Teagan Quitoriano,0
2022,Bernhard Raimann,17
2022,Charleston Rambo,0
2022,LaBryan Ray,0
2022,Sean Rhyan,10
2022,Desmond Ridder,13
2022,John Ridgeway,0
2022,Ronnie Rivers,0
2022,Brian Robinson,16
2022,Dominique Robinson,0
2022,Tyrese Robinson,0
2022,Malcolm Rodriguez,0
2022,Mike Rose,0
2022,Dare Rosenthal,0
2022,Josh Ross,0
2022,Justyn Ross,0
2022,Jeremy Ruckert,2
2022,Andrew Rupcich,0
2022,Jamaree Salyer,0
2022,Jack Sanborn,0
2022,Braylon Sanders,0
2022,Myjai Sanders,3
2022,Nephi Sewell,0
2022,Justin Shaffer,0
2022,Khalil Shakir,0
2022,Abram Smith,0
2022,Brandon Smith,1
2022,Lecitus Smith,0
2022,Tyler Smith,25
2022,Tyreke Smith,0
2022,Baylon Spector,8
2022,Isaiah Spiller,1
2022,Chris Steele,0
2022,Derek Stingley,21
2022,Jordan Stout,6
2022,Cole Strange,11
2022,Carson Strong,0
2022,Pierre Strong,4
2022,Andrew Stueber,0
2022,Myron Tagovailoa-Amosa,0
2022,Alontae Taylor,13
2022,Cam Taylor-Britt,14
2022,Isaac Taylor-Stuart,0
2022,Luke Tenuta,0
2022,Kayvon Thibodeaux,21
2022,Zach Thomas,0
2022,Cameron Thomas,3
2022,Isaiah Thomas,0
2022,Juanyeh Thomas,0
2022,Josh Thompson,0
2022,Skylar Thompson,0
2022,Tyquan Thornton,3
2022,Channing Tindall,3
2022,Jalen Tolbert,7
2022,Zach Tom,0
2022,Cole Turner,0
2022,Tré Turner,0
2022,Delarrin Turner-Yell,0
2022,Eyioma Uwazurike,1
2022,CJ Verdell,0
2022,Cordell Volson,22
2022,Matt Waletzko,0
2022,Kenneth Walker,20
2022,Quay Walker,18
2022,Rasheed Walker,0
2022,Travon Walker,21
2022,Jermaine Waller,0
2022,Jaylen Warren,0
2022,Christian Watson,16
2022,Jaylen Watson,8
2022,Luke Wattenberg,0
2022,Sam Webb,8
2022,Dohnovan West,0
2022,Isaiah Weston,0
2022,Rachaad White,21
2022,ZaQuandre White,0
2022,Zamir White,5
2022,Tre Williams,0
2022,Damarion Williams,8
2022,Devon Williams,0
2022,Jameson Williams,16
2022,Joshua Williams,5
2022,Kyren Williams,0
2022,Sam Williams,4
2022,Malik Willis,4
2022,Garrett Wilson,24
2022,Perrion Winfrey,1
2022,Jelani Woods,2
2022,JT Woods,1
2022,Mike Woods,0
2022,Tariq Woolen,0
2022,Alex Wright,6
2022,Mykael Wright,0
2022,Devonte Wyatt,6
2022,Jalen Wydermyer,0
2022,Cade York,1
2022,Nick Zakelj,0
2022,Bailey Zappe,2